DLS 23 Ratings by rosieline_#1574,,,https://discord.gg/uMtYYpGaZB,,,,,,,,,,,,,,,,
Common Players Ratings,,,,,,,,,,,,,,,,,,,
First Name,Last Name,Nationality,Position,Foot,Rating,Height (cm),Speed,Acceleration,Stamina,Control,Strength,Tackling,Passing,Shooting,Handling (GK),Reactions (GK),Total Stats,Player ID,Game Version
Daniel,Bachmann,Austria,GK,R,65,191,50,47,,46,49,34,49,,62,61,398,,v10.0
Daniel,Iversen,Denmark,GK,R,65,191,38,45,,43,49,41,40,,61,62,379,,v10.15
Maghnes,Akliouche,France,AM,L,64,166,70,69,65,60,59,31,61,61,,,476,,v10.0
Gianluca,Gaetano,Italy,AM,R,64,183,67,67,65,62,52,44,65,57,,,479,,v10.15
Lewis,Hall,England,CM,L,64,179,65,65,61,55,61,58,63,51,,,479,,v10.15
Rhys,Williams,England,CB,R,64,195,62,61,64,54,69,67,55,46,,,478,,v10.15
Mert,Muldur,Turkey,RB,B,64,188,68,71,69,53,62,50,61,51,,,485,,v10.0
Evan,Ferguson,Ireland,CF,R,63,183,69,69,61,61,62,20,61,63,,,466,,v10.15
Willem,Geubbels,France,LW,R,63,185,75,73,58,63,55,21,56,57,,,458,,v10.0
Alex,Smithies,England,GK,R,63,185,45,51,,41,48,31,45,,62,57,380,,v10.15
Jason,Steele,England,GK,R,63,188,59,57,,41,51,42,38,,60,60,408,,v10.15
Ilias,Akhomach,Spain,RW,R,62,175,70,75,53,65,55,22,54,53,,,447,,v10.15
Kaide,Gordon,England,RW,L,62,173,66,69,63,59,53,40,56,57,,,463,,v10.15
Jeremy,Sarmiento,Ecuador,AM,R,62,183,69,69,52,61,54,45,55,53,,,458,,v10.15
Ismael,Gharbi,France,AM,R,62,173,67,65,61,59,62,36,51,58,,,459,,v10.15
Pablo,Torre,Spain,AM,R,62,173,65,68,,52,64,48,49,,62,53,461,,v10.15
Andy,Rinomhota,England,CM,R,62,175,61,61,62,57,59,61,60,46,,,467,,v10.0
Yasin,Ayari,Sweden,CM,R,62,172,66,68,55,60,51,55,60,48,,,463,,v10.15
El Chadaille,Bitshiabu,France,CB,L,62,196,63,62,65,54,62,59,53,48,,,466,,v10.15
Juan,Familia-Castillo,Netherlands,LB,L,62,175,67,66,59,53,63,62,63,31,,,464,,v10.15
Calvin,Ramsay,Scotland,RB,R,62,177,68,69,62,56,47,59,63,42,,,466,,v10.15
Danny,Namaso,Cameroon,CF,R,61,182,70,71,67,58,51,20,54,60,,,451,,v10.15
Jan Paul,Van Hecke,Netherlands,CB,R,61,189,63,60,61,50,64,62,58,42,,,460,,v10.15
Fin,Stevens,Wales,RB,R,61,179,64,63,63,56,59,58,60,28,,,451,,v10.15
Adam,Jakubech,Slovenia,GK,R,61,188,53,55,,42,46,33,42,,58,57,386,,v10.15
Alexandre,Letellier,France,GK,R,61,193,52,52,,50,53,35,51,,59,56,408,,v10.15
Arnau,Tenas,Spain,GK,R,61,185,40,43,,47,37,32,45,,57,59,360,,v10.15
Harvey,Vale,England,AM,L,60,181,67,67,53,55,53,46,55,52,,,448,,v10.15
Carlos,Baleba,Cameroon,CM,L,60,179,61,62,60,53,62,59,57,39,,,453,,v10.15
Salah-Eddine,Oulad M'Hand,Netherlands,CM,R,60,177,62,63,56,57,51,50,61,52,,,452,,v10.15
Warren,Zaire-Emery,France,DM,R,60,178,60,61,58,57,55,56,58,42,,,447,,v10.15
Gabriel,Slonina,USA,GK,R,60,193,50,48,,47,61,41,48,,58,56,409,,v10.15
Davide,Marfella,Italy,GK,R,60,182,59,59,,44,46,35,42,,56,56,397,,v10.15
Ben,Doak,Scotland,RW,R,59,170,70,72,48,61,47,25,52,53,,,428,,v10.15
Kieran,Freeman,England,RB,R,59,172,61,61,69,50,56,59,52,32,,,440,,v10.0
Karl,Hein,Estonia,GK,R,59,193,38,37,,41,55,35,38,,57,55,356,,v10.15
Karim,Zedadka,Algeria,LM,R,58,184,63,65,56,52,56,46,50,43,,,431,,v10.15
Leny,Yoro,France,CB,R,58,190,58,56,58,48,67,60,55,32,,,434,,v10.15
Ilyes,Housni,France,CF,R,57,172,68,70,52,55,43,20,55,56,,,419,,v10.15
Lucas,Lavallee,France,GK,R,56,195,45,41,,43,52,37,44,,54,52,368,,v10.15
Kian,Slor,Netherlands,LW,L,55,181,66,66,48,53,46,25,49,48,,,401,,v10.15
Tom,Heaton,England,GK,R,68,185,49,48,,46,46,47,45,,62,67,410,,v10.15
Brandon,Williams,England,LB,R,68,171,72,69,69,59,64,68,64,49,,,514,,v10.15
Anthony,Elanga,Sweden,LW,R,69,178,77,79,63,68,52,50,59,59,,,507,,v10.15
Teden,Mengi,England,CB,R,62,186,71,69,60,55,63,59,57,24,,,458,,v10.15
Ki-Jana,Hoever,Netherlands,CB,R,64,180,64,66,64,53,65,63,64,40,,,479,,v10.15
Arber,Zeneli,Kosovo,LW,R,68,176,83,84,67,61,54,42,66,52,,,509,,v10.15
Thomas,Foket,Belgium,RB,R,68,177,71,72,61,64,61,67,65,40,,,501,,v10.15
Federico,Fazio,Argentina,CB,R,68,195,54,53,59,71,79,73,58,48,,,495,,v10.15
Ethan,Ampadu,Wales,CB,R,67,182,61,61,62,65,71,73,66,39,,,498,,v10.15
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
