DLS 23 Ratings by rosieline_#1574,,,https://discord.gg/uMtYYpGaZB,,,,,,,,,,,,,,,,,,,
Legendary Players Ratings (complete),,,,,,,,,,,,,,,,,,,,,,
First Name,Last Name,Price,Nationality,Club,Position,Foot,Rating,Height (cm),Speed,Acceleration,Stamina,Control,Strength,Tackling,Passing,Shooting,Handling (GK),Reactions (GK),Rating Change,Total Stats,Player ID,Game Version
,Ederson,1630,Brazil,Man City,GK,L,83,188,67,70,,67,59,55,71,,80,81,0,550,15227,v10.15
Marc-Andre,Ter Stegen,1630,Germany,Barcelona,GK,R,83,187,65,63,,63,63,53,69,,75,84,1,535,7449,v10.15
Christopher,Nkunku,2055,France,France,SS,R,82,175,84,86,75,83,69,46,83,86,,,-,612,15933,v10.15
Rafael,Leao,2055,Portugal,AC Milan,LW,R,82,188,88,89,73,89,75,31,76,80,,,3,601,16348,v10.15
Lautaro,Martinez,2055,Argentina,Inter Milan,CF,R,82,174,81,83,81,82,80,45,73,87,,,2,612,16329,v10.15
Ciro,Immobile,2055,Italy,Lazio,CF,R,82,185,85,81,78,79,72,54,76,90,,,1,615,9548,v10.15
Bukayo,Saka,1900,England,Arsenal,RM,L,82,178,83,86,81,83,60,63,82,80,,,4,618,17588,v10.15
N'Golo,Kante,1900,France,Chelsea,DM,R,82,168,76,80,92,80,75,88,79,67,,,-1,637,12778,v10.15
,Pedri,1900,Spain,Barcelona,CM,R,82,174,80,83,82,87,62,64,87,74,,,0,619,17763,v10.15
Frenkie,De Jong,1900,Netherlands,Barcelona,CM,R,82,180,80,80,85,84,67,71,90,73,,,3,630,15307,v10.15
Marco,Verratti,1900,Italy,Paris SG,CM,R,82,165,68,74,82,90,62,81,91,69,,,1,617,9127,v10.15
,Thiago,1900,Spain,Liverpool,CM,R,82,174,70,77,75,85,73,73,90,73,,,1,616,7394,v10.15
Federico,Valverde,1900,Uruguay,Real Madrid,CM,R,82,182,84,82,82,80,70,75,81,77,,,2,631,16636,v10.15
Sergej,Milinkovic-Savic,1900,Serbia,Lazio,CM,R,82,191,69,65,89,80,87,74,83,80,,,1,627,13747,v10.15
Trent,Alexander-Arnold,1680,England,Liverpool,RB,R,82,175,79,79,81,80,67,70,88,77,,,0,621,15400,v10.15
Reece,James,1680,England,Chelsea,RB,R,82,179,81,80,81,79,77,78,77,71,,,2,624,14640,v10.15
Theo,Hernandez,1680,France,AC Milan,LB,L,82,184,87,89,82,79,71,75,75,70,,,2,628,15462,v10.15
Andrew,Robertson,1680,Scotland,Liverpool,LB,L,82,178,82,83,88,79,73,78,84,60,,,1,627,12383,v10.15
Ruben,Dias,1680,Portugal,Man City,CB,R,82,187,72,69,77,79,89,90,80,58,,,1,614,16288,v10.15
Milan,Skriniar,1680,Slovakia,Inter Milan,CB,R,82,188,79,74,85,75,85,85,79,59,,,2,621,14327,v10.15
Antonio,Rudiger,1680,Germany,Real Madrid,CB,R,82,190,83,72,81,75,89,86,79,61,,,4,626,12480,v10.15
Kalidou,Koulibaly,1680,Senegal,Chelsea,CB,R,82,187,81,73,75,74,93,87,77,57,,,0,617,12375,v10.15
,Marquinhos,1680,Brazil,Paris SG,CB,R,82,183,81,75,84,74,81,86,79,59,,,2,619,11519,v10.15
Jan,Oblak,1520,Slovenia,Atletico Madrid,GK,R,82,188,67,66,,55,61,48,55,,80,79,-2,511,12336,v10.15
David,De Gea,1520,Spain,Man United,GK,R,82,192,65,66,,56,61,63,58,,74,85,1,528,153,v10.15
Gianluigi,Donnarumma,1520,Italy,Paris SG,GK,R,82,196,66,65,,59,65,43,63,,78,80,0,519,14078,v10.15
Paulo,Dybala,1915,Argentina,Roma,SS,L,81,177,79,85,73,88,59,51,85,84,,,-1,604,9553,v10.15
Antoine,Griezmann,1915,France,Atletico Madrid,SS,L,81,176,75,82,78,84,70,59,82,81,,,-2,611,5264,v10.15
Riyad,Mahrez,1915,Algeria,Man City,RW,L,81,179,79,81,69,87,69,52,80,81,,,0,598,11958,v10.15
Dusan,Vlahovic,1915,Serbia,Juventus,CF,L,81,190,80,78,78,81,85,37,73,89,,,0,601,17816,v10.15
Victor,Osimhen,1915,Nigeria,Napoli,CF,R,81,185,88,83,77,77,81,36,73,86,,,2,601,17319,v10.15
Sergio,Busquets,1770,Spain,Barcelona,DM,R,81,189,63,60,87,83,82,87,86,68,,,0,616,187,v10.15
Marcos,Llorente,1770,Spain,Atletico Madrid,CM,R,81,184,82,81,89,77,73,73,80,72,,,0,627,16321,v10.15
Nicolo,Barella,1770,Italy,Inter Milan,CM,R,81,172,75,77,88,85,69,72,85,71,,,1,622,14738,v10.15
Jude,Bellingham,1770,England,England,CM,R,81,186,74,77,84,83,73,76,81,76,,,10,624,17799,v10.15
Phil,Foden,1770,England,Man City,AM,L,81,171,80,84,79,87,64,55,84,81,,,0,614,16257,v10.15
Lorenzo,Pellegrini,1770,Italy,Roma,AM,B,81,186,76,76,85,81,69,71,83,77,,,1,618,15047,v10.15
Martin,Odegaard,1770,Norway,Arsenal,AM,L,81,178,74,80,81,85,64,57,86,79,,,2,606,13728,v10.15
Jordi,Alba,1570,Spain,Barcelona,LB,L,81,170,80,82,80,80,64,79,83,64,,,0,612,5338,v10.15
Aymeric,Laporte,1570,Spain,Man City,CB,L,81,189,70,69,80,79,87,87,82,59,,,0,613,11063,v10.15
David,Alaba,1570,Austria,Real Madrid,CB,L,81,180,81,80,73,79,75,85,80,64,,,0,617,6717,v10.15
Eder,Militao,1570,Brazil,Real Madrid,CB,R,81,186,84,79,80,73,85,86,77,49,,,1,613,16518,v10.15
Edouard,Mendy,1420,Senegal,Chelsea,GK,R,81,195,64,65,,59,70,50,60,,78,79,0,525,16489,v10.15
Mike,Maignan,1420,France,AC Milan,GK,R,81,191,58,56,,62,64,42,64,,78,78,2,502,15467,v10.15
Domenico ,Berardi,1780,Italy,Sassuolo,RW,L,80,183,79,77,77,83,70,53,81,84,,,3,604,11148,v10.15
Ousmane,Dembele,1780,France,Barcelona,RW,B,80,178,91,91,65,87,55,39,82,75,,,1,585,15403,v10.15
Raheem,Sterling,1780,England,Chelsea,LW,R,80,170,88,92,80,83,60,47,78,78,,,-2,606,9574,v10.15
Luis,Diaz,1780,Colombia,Liverpool,LW,R,80,180,88,90,75,84,66,38,79,79,,,0,599,17207,v10.15
Jack,Grealish,1780,England,Man City,LW,R,80,180,78,83,73,87,71,45,80,77,,,-1,594,12429,v10.15
Memphis,Depay,1780,Netherlands,Barcelona,LW,R,80,176,80,80,74,84,77,41,77,80,,,0,593,10324,v10.15
Marcus,Rashford,1780,England,Man United,LW,R,80,185,89,83,74,83,72,37,71,83,,,3,592,14344,v10.15
Romelu,Lukaku,1780,Belgium,Inter Milan,CF,L,80,191,84,73,64,75,93,42,73,86,,,-3,590,7333,v10.15
Diogo,Jota,1780,Portugal,Liverpool,CF,R,80,178,82,84,78,82,70,51,77,82,,,0,606,15256,v10.15
Gabriel,Jesus,1780,Brazil,Arsenal,CF,R,80,175,80,84,77,83,67,44,76,82,,,0,593,14938,v10.15
Gerard,Moreno,1780,Spain,Villareal,CF,L,80,180,77,78,72,83,74,45,77,85,,,0,591,13806,v10.15
Roberto,Firmino,1780,Brazil,Liverpool,CF,R,80,181,79,81,78,85,72,47,80,80,,,0,602,7413,v10.15
Wissam,Ben Yedder,1780,France,Monaco,CF,B,80,170,79,84,79,83,65,44,75,86,,,1,595,6018,v10.15
Yannick,Carrasco,1645,Belgium,Atletico Madrid,LM,R,80,181,85,85,78,85,62,52,77,77,,,1,601,11473,v10.15
Ivan,Perisic,1645,Croatia,Tottenham,LM,B,80,186,78,78,77,79,74,63,81,78,,,0,608,7408,v10.15
Marcelo,Brozovic,1645,Croatia,Inter Milan,DM,B,80,181,72,72,91,82,72,79,82,70,,,0,620,12224,v10.15
,Fabinho,1645,Brazil,Liverpool,DM,R,80,188,69,65,84,78,82,82,80,70,,,-2,610,11650,v10.15
Thomas,Partey,1645,Ghana,Arsenal,DM,R,80,185,72,70,81,79,83,81,81,68,,,1,615,12682,v10.15
Frank,Kessie,1645,Ivory Coast,Barcelona,CM,R,80,183,76,72,84,76,82,78,78,71,,,0,617,14982,v10.15
Hakan,Calhanoglu,1645,Turkey,Inter Milan,CM,R,80,178,69,74,81,82,63,66,87,83,,,0,605,11532,v10.15
,Jorginho,1645,Italy,Arsenal,CM,R,80,180,67,67,80,83,72,76,86,76,,,-2,607,11259,v10.15
Paul,Pogba,1645,France,Juventus,CM,B,80,191,71,69,71,81,83,61,87,78,,,-1,601,9512,v10.15
Ilkay,Gundogan,1645,Germany,Man City,CM,R,80,180,73,73,75,82,71,67,82,77,,,-1,600,4990,v10.15
Mason,Mount,1645,England,Chelsea,AM,R,80,180,74,74,78,81,70,62,82,81,,,2,602,15666,v10.15
Kyle,Walker,1460,England,Man City,RB,R,80,178,89,87,77,73,76,79,74,48,,,2,603,7821,v10.15
Juan,Cuadrado,1460,Colombia,Juventus,RB,R,80,179,85,86,78,83,57,74,79,68,,,2,610,4724,v10.15
Kieran,Trippier,1460,England,Newcastle,RB,R,80,173,71,73,81,77,70,79,85,74,,,2,610,5337,v10.15
Giovanni,Di Lorenzo,1460,Italy,Napoli,RB,R,80,183,80,81,86,75,73,79,78,58,,,1,610,16394,v10.15
Ferland,Mendy,1460,France,Real Madrid,LB,L,80,180,88,87,76,77,74,76,79,49,,,0,606,15554,v10.15
Jose,Gaya,1460,Spain,Valencia,LB,L,80,172,80,82,81,76,69,80,81,55,,,1,604,12403,v10.15
Jules,Kounde,1460,France,Barcelona,CB,R,80,178,74,74,82,77,81,85,77,54,,,0,604,16568,v10.15
Raphael,Varane,1460,France,Man United,CB,R,80,191,79,78,71,74,83,83,76,52,,,-1,596,6567,v10.15
Joel,Matip,1460,Cameroon,Liverpool,CB,R,80,195,74,71,77,74,84,83,76,60,,,-1,599,5002,v10.15
Thiago,Silva,1460,Brazil,Chelsea,CB,R,80,181,66,66,83,74,85,91,80,66,,,0,611,2517,v10.15
Stefan,De Vrij,1460,Netherlands,Inter Milan,CB,R,80,189,69,74,80,74,80,87,79,65,,,0,608,1424,v10.15
Fikayo,Tomori,1460,England,AC Milan,CB,R,80,185,82,81,78,71,79,82,75,55,,,1,603,15615,v10.15
Samir,Handanovic,1320,Slovenia,Inter Milan,GK,R,80,193,52,51,,62,66,41,67,,77,78,0,494,3361,v10.15
Keylor,Navas,1320,Costa Rica,Paris SG,GK,R,80,185,69,68,,65,54,59,63,,73,79,1,530,3179,v10.15
Yann,Sommer,1320,Switzerland,Switzerland,GK,R,80,183,62,60,,63,63,52,62,,75,79,-,516,12197,v10.15
Nick,Pope,1320,England,Newcastle,GK,R,80,194,60,60,,51,65,53,52,,76,78,3,495,11675,v10.15
